topic,year,n_papers,n_authors,n_papers_t1,n_authors_t1,topic_share_t1,cross_topic_rate_t1,connectivity_t1,modularity_t1,bridge_concentration_t1,topic_growth,median_cites_2yr,log1p_median_c2,hit_rate_2yr,topic_share_t
Advanced Neural Network Applications,2019,132,524,83.0,330.0,0.0833333333333333,0.2,3.9272727272727272,0.9665871711820252,1.0,0.1112849611838524,8.0,2.19722457733622,0.1969696969696969,0.0931545518701482
Advanced Neural Network Applications,2020,202,816,132.0,524.0,0.0931545518701482,0.2862595419847328,3.9198473282442743,0.9834897807242348,1.0,0.1388802824227304,5.0,1.791759469228055,0.1336633663366336,0.1070482246952835
Advanced Neural Network Applications,2021,236,1041,202.0,816.0,0.1070482246952835,0.2169117647058823,4.529411764705882,0.978117389881719,0.9933526160388436,-0.0427506344075929,1.0,0.6931471805599453,0.2203389830508474,0.1025641025641025
Advanced Neural Network Applications,2022,319,1360,236.0,1041.0,0.1025641025641025,0.249759846301633,4.889529298751201,0.9817892801128948,0.9943711624129038,0.111430210569936,2.0,1.0986122886681096,0.1473354231974921,0.114665708123652
Advanced Neural Network Applications,2023,356,1618,319.0,1360.0,0.114665708123652,0.2404411764705882,5.035294117647059,0.982505941405391,1.0,-0.1171700893236007,1.0,0.6931471805599453,0.1095505617977528,0.1019765110283586
Advanced Vision and Imaging,2022,38,190,26.0,111.0,0.0112994350282485,0.2342342342342342,4.036036036036036,0.9338074074074074,1.0,0.188146654787559,4.5,1.7047480922384253,0.3684210526315789,0.0136592379583033
Advanced Vision and Imaging,2023,55,259,38.0,190.0,0.0136592379583033,0.1578947368421052,5.463157894736842,0.9403851436337088,1.0,0.1417617207025854,1.0,0.6931471805599453,0.109090909090909,0.015754798052134
Adversarial Robustness in Machine Learning,2019,87,356,51.0,180.0,0.0512048192771084,0.2611111111111111,3.2333333333333334,0.9584349784199662,1.0,0.1812088778389027,9.0,2.302585092994046,0.160919540229885,0.0613973182780522
Adversarial Robustness in Machine Learning,2020,109,419,87.0,356.0,0.0613973182780522,0.2696629213483146,4.174157303370786,0.9666312881013992,0.9969054524713908,-0.060904256910311,5.0,1.791759469228055,0.128440366972477,0.0577636459989401
Adversarial Robustness in Machine Learning,2021,131,543,109.0,419.0,0.0577636459989401,0.3126491646778043,4.305489260143198,0.9671675580567892,0.995549976492587,-0.0144808518409464,1.0,0.6931471805599453,0.1068702290076335,0.0569317687961755
Adversarial Robustness in Machine Learning,2022,148,640,131.0,543.0,0.0569317687961755,0.3075506445672191,4.206261510128914,0.9782335637114478,1.0,-0.0676883143640711,2.0,1.0986122886681096,0.027027027027027,0.0531991373112868
Adversarial Robustness in Machine Learning,2023,144,641,148.0,640.0,0.0531991373112868,0.2796875,4.70625,0.9814900252039812,0.9949435097727932,-0.2538737023907367,0.0,0.0,0.0555555555555555,0.0412489258092237
Anomaly Detection Techniques and Applications,2022,24,137,23.0,83.0,0.0099956540634506,0.3132530120481928,3.060240963855421,0.928513857027714,1.0,-0.1456963056468323,2.0,1.0986122886681096,0.2083333333333333,0.00862688713156
