topic,year,n_papers,n_authors,n_papers_t1,n_authors_t1,topic_share_t1,cross_topic_rate_t1,connectivity_t1,modularity_t1,bridge_concentration_t1,topic_growth,median_cites_2yr,log1p_median_c2,hit_rate_2yr,topic_share,cross_topic_rate,connectivity,modularity,bridge_concentration,avg_team_size,median_cites_3yr,citation_gini
Advanced Bandit Algorithms Research,2022,110,358,131,378,0.05733041575492341,0.3386243386243386,3.4074074074074074,0.9680650185779799,0.9772806575427447,-0.1527515796058334,0.0,0.0,0.00909090909090909,0.049194991055456175,0.3994413407821229,3.4860335195530725,0.9707444383380697,0.9900649884216026,3.6363636363636362,1.0,0.7195121951219512
Advanced Bandit Algorithms Research,2023,123,412,110,358,0.049194991055456175,0.3994413407821229,3.4860335195530725,0.9707444383380697,0.9900649884216026,-0.10475414878093536,0.0,0.0,0.008130081300813009,0.044292401872524305,0.32281553398058255,3.766990291262136,0.9618410483183909,0.9975640292688316,3.7642276422764227,0.0,0.8514696685428392
Advanced Bandit Algorithms Research,2024,40,160,123,412,0.044292401872524305,0.32281553398058255,3.766990291262136,0.9618410483183909,0.9975640292688316,-0.8174019516371365,0.0,0.0,0.0,0.019502681618722574,0.20625,4.0875,0.946550153757361,1.0,4.175,,0.7691176470588236
Advanced Image and Video Retrieval Techniques,2021,26,116,14,57,0.007462686567164179,0.3157894736842105,3.6140350877192984,0.8681308323121879,0.0,0.41725408837875566,1.0,0.6931471805599453,0.07692307692307693,0.011378555798687089,0.25,3.9310344827586206,0.9436365035395505,1.0,4.538461538461538,3.5,0.6636363636363637
Advanced Image and Video Retrieval Techniques,2024,43,265,12,58,0.004321209938782859,0.2413793103448276,4.413793103448276,0.8680419921875,0.0,1.561217664312136,1.0,0.6931471805599453,0.16279069767441862,0.020965382740126767,0.2037735849056604,6.143396226415095,0.9618259090003562,1.0,6.186046511627907,,0.7137745974955277
Advanced Vision and Imaging,2021,25,104,17,69,0.00906183368869936,0.36231884057971014,4.3478260869565215,0.8505650193961883,0.8797127468581691,0.1865619404996428,2.0,1.0986122886681096,0.2,0.010940919037199124,0.2403846153846154,3.9038461538461537,0.9300749711649369,1.0,4.28,4.0,0.6663529411764706
Advanced Vision and Imaging,2022,34,173,25,104,0.010940919037199124,0.2403846153846154,3.9038461538461537,0.9300749711649369,1.0,0.32661862576706824,5.5,1.8718021769015913,0.35294117647058826,0.01520572450805009,0.17341040462427745,5.5606936416184976,0.9342246707874228,0.9970577418168444,5.294117647058823,13.5,0.5980897513644633
Advanced Vision and Imaging,2023,47,218,34,173,0.01520572450805009,0.17341040462427745,5.5606936416184976,0.9342246707874228,0.9970577418168444,0.10644060795344945,2.0,1.0986122886681096,0.10638297872340426,0.01692473892689953,0.26146788990825687,4.678899082568807,0.9514592851589876,1.0,4.76595744680851,3.0,0.6743901080539155
Advanced Vision and Imaging,2024,21,126,47,218,0.01692473892689953,0.26146788990825687,4.678899082568807,0.9514592851589876,1.0,-0.49875327753372023,1.0,0.6931471805599453,0.19047619047619047,0.010238907849829351,0.1746031746031746,5.666666666666667,0.9166848725071002,0.9945504087193461,6.095238095238095,,0.680952380952381
Adversarial Robustness in Machine Learning,2018,51,180,18,74,0.027149321266968326,0.22972972972972974,3.5135135135135136,0.9156213017751481,0.0,0.6357668002577963,8.0,2.1972245773362196,0.19607843137254902,0.0513595166163142,0.2611111111111111,3.2333333333333334,0.958434978419966,1.0,3.627450980392157,22.0,0.5322989631191786
