topic,year,n_papers,n_authors,topic_share_t1,cross_topic_rate_t1,connectivity_t1,modularity_t1,bridge_concentration_t1,topic_growth,median_cites_2yr,log1p_median_c2,hit_rate_2yr,topic_share,cross_topic_rate,connectivity,modularity,bridge_concentration,avg_team_size,median_cites_3yr,citation_gini
Advanced Neural Network Applications,2015,24,75,0.03731343283582089,0.22641509433962265,3.358490566037736,0.8259058199722258,1.0,0.49160585155076797,7.5,2.1400661634962708,0.375,0.061068702290076333,0.13333333333333333,2.6133333333333333,0.9054560599750103,0.0,3.125,17.5,0.7618393511250654
Advanced Neural Network Applications,2016,29,101,0.061068702290076333,0.13333333333333333,2.6133333333333333,0.9054560599750103,0.0,-0.16459216054767722,5.0,1.791759469228055,0.27586206896551724,0.05178571428571429,0.18811881188118812,3.128712871287129,0.9304598622015703,1.0,3.5172413793103448,24.0,0.7074489736581961
Advanced Neural Network Applications,2017,43,158,0.05178571428571429,0.18811881188118812,3.128712871287129,0.9304598622015703,1.0,0.21867181206858888,9.0,2.302585092994046,0.11627906976744186,0.06446776611694154,0.21518987341772153,4.3164556962025316,0.8902055333264935,1.0,3.744186046511628,22.0,0.543854427957995
Advanced Neural Network Applications,2018,83,330,0.06446776611694154,0.21518987341772153,4.3164556962025316,0.8902055333264935,1.0,0.256332600029205,8.0,2.1972245773362196,0.18072289156626506,0.08333333333333333,0.2,3.9272727272727272,0.9665871711820252,1.0,4.180722891566265,19.0,0.6708977236569404
Advanced Neural Network Applications,2019,132,524,0.08333333333333333,0.2,3.9272727272727272,0.9665871711820252,1.0,0.11128496118385245,8.0,2.1972245773362196,0.19696969696969696,0.0931545518701482,0.2862595419847328,3.9198473282442747,0.9834897807242349,1.0,4.083333333333333,19.5,0.5660495685330122
Advanced Neural Network Applications,2020,202,816,0.0931545518701482,0.2862595419847328,3.9198473282442747,0.9834897807242349,1.0,0.13888028242273043,5.0,1.791759469228055,0.13366336633663367,0.10704822469528352,0.21691176470588236,4.529411764705882,0.978117389881719,0.9933526160388436,4.415841584158416,10.0,0.5921382073109664
Advanced Neural Network Applications,2021,236,1041,0.10704822469528352,0.21691176470588236,4.529411764705882,0.978117389881719,0.9933526160388436,-0.04275063440759297,1.0,0.6931471805599453,0.22033898305084745,0.10256410256410256,0.24975984630163303,4.889529298751201,0.9817892801128948,0.9943711624129038,4.77542372881356,5.0,0.856158906548836
Advanced Neural Network Applications,2022,319,1360,0.10256410256410256,0.24975984630163303,4.889529298751201,0.9817892801128948,0.9943711624129038,0.11143021056993607,2.0,1.0986122886681096,0.14733542319749215,0.11466570812365205,0.24044117647058824,5.035294117647059,0.982505941405391,1.0,4.601880877742946,4.0,0.762523834574363
Advanced Neural Network Applications,2023,356,1618,0.11466570812365205,0.24044117647058824,5.035294117647059,0.982505941405391,1.0,-0.11717008932360073,1.0,0.6931471805599453,0.10955056179775281,0.10197651102835864,0.23547589616810877,5.435105067985167,0.9880921862284482,0.9962316205142857,4.932584269662922,2.0,0.7719030695719069
Advanced Vision and Imaging,2021,26,111,0.009009009009009009,0.36231884057971014,4.3478260869565215,0.8505650193961882,0.8797127468581687,0.2242998704617838,1.5,0.9162907318741551,0.19230769230769232,0.011299435028248588,0.23423423423423423,4.036036036036036,0.9338074074074074,1.0,4.384615384615385,4.0,0.667262969588551
Advanced Vision and Imaging,2022,38,190,0.011299435028248588,0.23423423423423423,4.036036036036036,0.9338074074074074,1.0,0.188146654787559,4.5,1.7047480922384253,0.3684210526315789,0.013659237958303379,0.15789473684210525,5.463157894736842,0.9403851436337087,1.0,5.184210526315789,9.5,0.6403960933260987
Advanced Vision and Imaging,2023,55,259,0.013659237958303379,0.15789473684210525,5.463157894736842,0.9403851436337087,1.0,0.14176172070258541,1.0,0.6931471805599453,0.10909090909090909,0.015754798052134058,0.23938223938223938,4.718146718146718,0.9593051817676962,1.0,4.818181818181818,2.0,0.7240191387559809
Adversarial Robustness in Machine Learning,2018,51,180,0.026986506746626688,0.22972972972972974,3.5135135135135136,0.915621301775148,0.0,0.6387489929271579,8.0,2.1972245773362196,0.19607843137254902,0.05120481927710843,0.2611111111111111,3.2333333333333334,0.9584349784199662,1.0,3.627450980392157,22.0,0.531552144069673
Adversarial Robustness in Machine Learning,2019,87,356,0.05120481927710843,0.2611111111111111,3.2333333333333334,0.9584349784199662,1.0,0.18120887783890272,9.0,2.302585092994046,0.16091954022988506,0.061397318278052226,0.2696629213483146,4.174157303370786,0.9666312881013991,0.9969054524713907,4.333333333333333,24.0,0.574957388226039
Adversarial Robustness in Machine Learning,2020,109,419,0.061397318278052226,0.2696629213483146,4.174157303370786,0.9666312881013991,0.9969054524713907,-0.060904256910311094,5.0,1.791759469228055,0.12844036697247707,0.057763645998940114,0.3126491646778043,4.305489260143198,0.9671675580567893,0.995549976492587,4.18348623853211,8.0,0.5858235943507556
Adversarial Robustness in Machine Learning,2021,131,543,0.057763645998940114,0.3126491646778043,4.305489260143198,0.9671675580567893,0.995549976492587,-0.014480851840946496,1.0,0.6931471805599453,0.10687022900763359,0.05693176879617558,0.30755064456721914,4.206261510128914,0.9782335637114478,1.0,4.412213740458015,3.0,0.6852053798618684
Adversarial Robustness in Machine Learning,2022,148,640,0.05693176879617558,0.30755064456721914,4.206261510128914,0.9782335637114478,1.0,-0.06768831436407119,2.0,1.0986122886681096,0.02702702702702703,0.053199137311286844,0.2796875,4.70625,0.9814900252039813,0.9949435097727933,4.628378378378378,4.0,0.6085007025373997
Adversarial Robustness in Machine Learning,2023,144,641,0.053199137311286844,0.2796875,4.70625,0.9814900252039813,0.9949435097727933,-0.2538737023907367,0.0,0.0,0.05555555555555555,0.04124892580922372,0.2745709828393136,5.3478939157566305,0.9615322931853586,0.9987448428310503,4.75,1.0,0.8006287537537538
Anomaly Detection Techniques and Applications,2021,23,83,0.00688924218335983,0.3695652173913043,2.9130434782608696,0.8768099799509912,0.0,0.3677329045274096,1.0,0.6931471805599453,0.13043478260869565,0.009995654063450673,0.3132530120481928,3.0602409638554215,0.928513857027714,1.0,3.6956521739130435,3.0,0.700693131695022
Anomaly Detection Techniques and Applications,2022,24,137,0.009995654063450673,0.3132530120481928,3.0602409638554215,0.928513857027714,1.0,-0.14569630564683234,2.0,1.0986122886681096,0.20833333333333334,0.008626887131560028,0.32116788321167883,7.211678832116788,0.8559065055975348,1.0,5.833333333333333,5.0,0.7398424543946932
Anomaly Detection Techniques and Applications,2023,36,181,0.008626887131560028,0.32116788321167883,7.211678832116788,0.8559065055975348,1.0,0.17657248141408655,2.0,1.0986122886681096,0.08333333333333333,0.01031223145230593,0.2983425414364641,4.939226519337017,0.9430506133357356,1.0,5.138888888888889,3.0,0.5872549019607843
